name,images

"Hong Kong, China","[{'position': 1, 'thumbnail': 'https://serpapi.com/searches/6311fd07e815af2d40986dc4/images/d9b64b7bbeb90baf3284dd8de3796c98fda508288fb4ca6ff108dfecf8c4669a.jpeg', 'source': 'en.wikipedia.org', 'title': 'Hong Kong–Mainland China conflict - Wikipedia', 'link': 'https://en.wikipedia.org/wiki/Hong_Kong%E2%80%93Mainland_China_conflict', 'original': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/June16protestTreefong21.jpg/1200px-June16protestTreefong21.jpg', 'is_product': False}, {'position': 2, 'thumbnail': 'https://serpapi.com/searches/6311fd07e815af2d40986dc4/images/d9b64b7bbeb90bafe3e96bd3590211473641e03691103c799f76673eec7d4707.jpeg', 'source': 'nytimes.com', 'title': 'China May Sacrifice Hong Kong to Achieve its Goals - The New York Times', 'link': 'https://www.nytimes.com/2020/06/03/business/china-hong-kong-damage.html', 'original': 'https://static01.nyt.com/images/2020/06/03/world/03hongkong-damages-1/03hongkong-damages-1-mobileMasterAt3x.jpg', 'is_product': False}, {'position': 3, 'thumbnail': 'https://serpapi.com/searches/6311fd07e815af2d40986dc4/images/d9b64b7bbeb90baf0098b19f39372f001f800aa2879cd3ab9ad88a255954605f.jpeg', 'source': 'investopedia.com', 'title': 'Hong Kong vs. Mainland China: Understanding the Economic and Financial  Differences', 'link': 'https://www.investopedia.com/articles/investing/121814/hong-kong-vs-china-understand-differences.asp', 'original': 'https://www.investopedia.com/thmb/10BXfIgoQRM9FqHYo3wBpJ7vd84=/680x440/filters:fill(auto,1)/hong_kong-5bfc319f46e0fb0051bef78f.jpg', 'is_product': False}, {'position': 4, 'thumbnail': 'https://serpapi.com/searches/6311fd07e815af2d40986dc4/images/d9b64b7bbeb90baf33cdec4183de611318dc042ffe96a73cc82b97246dedb027.jpeg', 'source': 'npr.org', 'title': 'As China Imposes New Hong Kong Law, U.S. And Allies Take Steps To Retaliate  : NPR', 'link': 'https://www.npr.org/2020/07/02/886587827/as-china-imposes-new-hong-kong-law-u-s-and-allies-take-steps-to-retaliate', 'original': 'https://media.npr.org/assets/img/2020/07/02/ap_20183375280935-f88d407c7a104d889697684d6e059eab097b5eb0.jpg', 'is_product': False}, {'position': 5, 'thumbnail': 'https://serpapi.com/searches/6311fd07e815af2d40986dc4/images/d9b64b7bbeb90bafd84c7fcab436bf5c3bea3190b4cb7ac57b2c8f3fe39c982a.jpeg', 'source': 'britannica.com', 'title': 'A Look at Hong Kong and China 20 Years After Reunification | Britannica', 'link': 'https://www.britannica.com/story/a-look-at-hong-kong-and-china-20-years-after-reunification', 'original': 'https://cdn.britannica.com/72/154072-050-5F69AC59/Hong-Kong-China-harbour-region-east-coast.jpg', 'is_product': False}]"

"Bangkok, ThailandÂ ","[{'position': 1, 'thumbnail': 'https://serpapi.com/searches/6311fd0a47ccf16e1e70006a/images/aefac8069f03a127fa0368ab7bd06eaf8ac17c3fd5aee1088429352022373c2a.jpeg', 'source': 'en.wikipedia.org', 'title': 'Bangkok - Wikipedia', 'link': 'https://en.wikipedia.org/wiki/Bangkok', 'original': 'https://upload.wikimedia.org/wikipedia/commons/a/af/Bangkok_Montage_2021.jpg', 'is_product': False}, {'position': 2, 'thumbnail': 'https://serpapi.com/searches/6311fd0a47ccf16e1e70006a/images/aefac8069f03a12775ab57817951528e453c2414e619657019ae01e1d9bc44b3.jpeg', 'source': 'hotels.com', 'title': '28 Best Things to Do in Bangkok - What is Bangkok Most Famous For? – Go  Guides', 'link': 'https://www.hotels.com/go/thailand/best-bangkok-things-to-do', 'original': 'https://a.cdn-hotels.com/gdcs/production168/d707/c3156d7b-ce5a-4a5c-9a99-002b0ff57fe8.jpg', 'is_product': False}, {'position': 3, 'thumbnail': 'https://serpapi.com/searches/6311fd0a47ccf16e1e70006a/images/aefac8069f03a127e9851db7ec51507e92c5d6255ad8d01d929a1a86fc69a486.jpeg', 'source': 'roadaffair.com', 'title': '10 Best Things to Do in Bangkok, Thailand - Road Affair', 'link': 'https://www.roadaffair.com/best-things-to-do-in-bangkok/', 'original': 'https://www.roadaffair.com/wp-content/uploads/2017/10/bangkok-thailand-shutterstock_300284237.jpg', 'is_product': False}, {'position': 4, 'thumbnail': 'https://serpapi.com/searches/6311fd0a47ccf16e1e70006a/images/aefac8069f03a1274faffaeb8d511eb3839d7ddd025fd0a5569d74617add351b.jpeg', 'source': 'britannica.com', 'title': 'Bangkok | Location, History, Culture, & Facts | Britannica', 'link': 'https://www.britannica.com/place/Bangkok', 'original': 'https://cdn.britannica.com/57/20057-004-404C9F85/Grand-Palace-Bangkok-Thailand.jpg', 'is_product': False}, {'position': 5, 'thumbnail': 'https://serpapi.com/searches/6311fd0a47ccf16e1e70006a/images/aefac8069f03a127801cd88993c988fcf66c51782f53083342f402e5f4bcc149.jpeg', 'source': 'lonelyplanet.com', 'title': 'Best neighborhoods in Bangkok - Lonely Planet', 'link': 'https://www.lonelyplanet.com/articles/best-neighborhoods-in-bangkok', 'original': 'https://lp-cms-production.imgix.net/2021-06/shutterstockRF_1116550892.jpg?auto=format&q=40&ar=16%3A9&fit=crop', 'is_product': False}]"

"Macau, China","[{'position': 1, 'thumbnail': 'https://serpapi.com/searches/6311fe50dc02f174650206e0/images/f9aed35e9da5de68c6cd5b689ffdad8dd0cd8ba2e81e9bb0152bf124f0106e02.jpeg', 'source': 'worldtravelguide.net', 'title': 'Macau city travel guide', 'link': 'https://www.worldtravelguide.net/guides/asia/china/macau/macau-city/', 'original': 'https://www.worldtravelguide.net/wp-content/uploads/2017/03/shu-Macau-1006756141-1440x823.jpg', 'is_product': False}, {'position': 2, 'thumbnail': 'https://serpapi.com/searches/6311fe50dc02f174650206e0/images/f9aed35e9da5de68ef852a79740641d289d53cc1f2a3cfaae6f576a102abd866.jpeg', 'source': 'businessinsider.com', 'title': ""As Beijing Cracks Down, Macau's Reputation As Asia's Gambling Hub Is at  Stake"", 'link': 'https://www.businessinsider.com/macau-gambling-beijing-cracks-down-future-in-question-casinos-2021-11', 'original': 'https://i.insider.com/6195f7cc8e9bfa0019877d76?width=1136&format=jpeg', 'is_product': False}, {'position': 3, 'thumbnail': 'https://serpapi.com/searches/6311fe50dc02f174650206e0/images/f9aed35e9da5de68f6b3a6c8565983a9fe63689318b0011439e990c0b15e3626.jpeg', 'source': 'kayak.com', 'title': 'Macau Travel Guide | Macau Tourism - KAYAK', 'link': 'https://www.kayak.com/Macau.15097.guide', 'original': 'https://content.r9cdn.net/rimg/dimg/39/32/2628d0f8-city-15097-169de7680aa.jpg?crop=true&width=1020&height=498', 'is_product': False}, {'position': 4, 'thumbnail': 'https://serpapi.com/searches/6311fe50dc02f174650206e0/images/f9aed35e9da5de68926ad7610da9c57520ce08b439c54c961807fabf356d6208.jpeg', 'source': 'vogue.com', 'title': '48 Hours in Macau: The Vegas of China | Vogue', 'link': 'https://www.vogue.com/article/two-days-in-macau-vegas-of-china', 'original': 'https://assets.vogue.com/photos/5891d4e3dec09b1841454006/16:9/w_1280,c_limit/00-holding-macau-vegas-of-china.jpg', 'is_product': False}, {'position': 5, 'thumbnail': 'https://serpapi.com/searches/6311fe50dc02f174650206e0/images/f9aed35e9da5de683ebbb0196211197923c1295b4179afd3da322ffe598269ce.png', 'source': 'operationworld.org', 'title': 'China, Macau - Operation World', 'link': 'https://operationworld.org/locations/china-macau/', 'original': 'https://ow-prayer-api.info/files/en/images/main-maps/chnm-02.png', 'is_product': False}]"

"Singapore, Singapore","[{'position': 1, 'thumbnail': 'https://serpapi.com/searches/6311fe530574f51ab3351c41/images/2e30893ad4988fbd3acd1abd91a069f25a721d0872dfd559a3996b4fb37be392.jpeg', 'source': 'kids.nationalgeographic.com', 'title': 'Singapore Country Profile - National Geographic Kids', 'link': 'https://kids.nationalgeographic.com/geography/countries/article/singapore', 'original': 'https://i.natgeofe.com/k/95d61645-a0c7-470f-b198-74a399dd5dfb/singapore-city_square.jpg', 'is_product': False}, {'position': 2, 'thumbnail': 'https://serpapi.com/searches/6311fe530574f51ab3351c41/images/2e30893ad4988fbd1e4ff4471b1f1062a49c30d69c0c4a5adf640e4dcc4c7f71.jpeg', 'source': 'amazon.jobs', 'title': 'Singapore, Singapore | Amazon.jobs', 'link': 'https://www.amazon.jobs/zh/locations/singapore-singapore', 'original': 'https://static.amazon.jobs/locations/39/thumbnails/singapore-thumb1.jpg?1633126180', 'is_product': False}, {'position': 3, 'thumbnail': 'https://serpapi.com/searches/6311fe530574f51ab3351c41/images/2e30893ad4988fbd6d13055d5c8cb592fb72c63bc161dda514f608e7348f42ce.jpeg', 'source': 'thoughtco.com', 'title': 'Where Is Singapore? Tips for First-Time Visitors', 'link': 'https://www.thoughtco.com/where-is-singapore-1458491', 'original': 'https://www.thoughtco.com/thmb/h2rufV1n9LVbA4jaOzXUuJMATVw=/2121x1414/filters:fill(auto,1)/singapore--garden-by-the-bay--supertree-grove-638256268-fa59e7e78b6449aaa40f68eafe6ff1a1.jpg', 'is_product': False}, {'position': 4, 'thumbnail': 'https://serpapi.com/searches/6311fe530574f51ab3351c41/images/2e30893ad4988fbd5a4b1e301b9253c118e8659fec854b0116be5474fef80f16.jpeg', 'source': 'britannica.com', 'title': 'Singapore | Facts, Geography, History, & Points of Interest | Britannica', 'link': 'https://www.britannica.com/place/Singapore', 'original': 'https://cdn.britannica.com/55/190455-050-E617F64E/Night-view-Singapore.jpg', 'is_product': False}, {'position': 5, 'thumbnail': 'https://serpapi.com/searches/6311fe530574f51ab3351c41/images/2e30893ad4988fbd96cbed9ecfe0f93c33e204114717d0fb92c1d57fc04250fc.jpeg', 'source': 'cnn.com', 'title': 'Travel to Singapore during Covid-19: What you need to know before you go |  CNN Travel', 'link': 'https://www.cnn.com/travel/article/singapore-travel-covid-19/index.html', 'original': 'http://cdn.cnn.com/cnnnext/dam/assets/191212182124-04-singapore-buildings.jpg', 'is_product': False}]"

"London, England","[{'position': 1, 'thumbnail': 'https://serpapi.com/searches/6311fe5879627cf89a7cf2d9/images/7a0f15e02541a7ba26158f7fb8fc28ec69c69d107fb04568a0dc910d1ad57d03.jpeg', 'source': 'en.wikipedia.org', 'title': 'London - Wikipedia', 'link': 'https://en.wikipedia.org/wiki/London', 'original': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/London_Montage_L.jpg/275px-London_Montage_L.jpg', 'is_product': False}, {'position': 2, 'thumbnail': 'https://serpapi.com/searches/6311fe5879627cf89a7cf2d9/images/7a0f15e02541a7ba0ebda990cdaef65647b3624e0500d1ffdd14a4e8809536c4.jpeg', 'source': 'history.com', 'title': 'London: A History - HISTORY', 'link': 'https://www.history.com/topics/british-history/london-england', 'original': 'https://www.history.com/.image/ar_4:3%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTYyNDg1MjE3MTI1Mjc5Mzk4/topic-london-gettyimages-760251843-promo.jpg', 'is_product': False}, {'position': 3, 'thumbnail': 'https://serpapi.com/searches/6311fe5879627cf89a7cf2d9/images/7a0f15e02541a7bae2ca86973ddcd4bb251ced86e7969d9c29afc506d94af968.jpeg', 'source': 'britannica.com', 'title': 'London | History, Maps, Population, Area, & Facts | Britannica', 'link': 'https://www.britannica.com/place/London', 'original': 'https://cdn.britannica.com/94/19694-050-1DAF09F3/World-Heritage-locator-London-United-Kingdom.jpg', 'is_product': False}, {'position': 4, 'thumbnail': 'https://serpapi.com/searches/6311fe5879627cf89a7cf2d9/images/7a0f15e02541a7ba13c1643e4a424ead51cfd4653cebee5bc3a8839c5460a59c.jpeg', 'source': 'thestar.com', 'title': ""An insider's guide to London, England: Where to find inspiring art, cool  shops and classic Sunday roast | The Star"", 'link': 'https://www.thestar.com/life/travel/2022/07/08/an-insiders-guide-to-london-england-where-to-find-inspiring-art-cool-shops-and-classic-sunday-roast.html', 'original': 'https://images.thestar.com/-Fp_HS9StFapG3tsrMLj3o-Z5e4=/1086x724/smart/filters:cb(1657223973655):format(webp)/https://www.thestar.com/content/dam/thestar/life/travel/2022/07/08/an-insiders-guide-to-london-england-where-to-find-inspiring-art-cool-shops-and-classic-sunday-roast/london_england_credit_tomas_marek_istock.jpg', 'is_product': False}, {'position': 5, 'thumbnail': 'https://serpapi.com/searches/6311fe5879627cf89a7cf2d9/images/7a0f15e02541a7badf8ef6ef48b9166eca03616b5811312fe3479dd18205b1bb.jpeg', 'source': 'nationalgeographic.com', 'title': 'When to Go and Other Fast Facts for London, England', 'link': 'https://www.nationalgeographic.com/travel/article/fast-facts-120', 'original': 'https://i.natgeofe.com/n/4def1048-f5e5-4973-ad3a-e188a97d363f/regents-street-london-england.jpg', 'is_product': False}]"
